admin3,label
0001,General Directorate of Municipal Finance Chisinau
0012,General Directorate of Finance & Economics Balti
0030,General Directorate of Finance of the CR-November Anenii
0031,General Directorate of Finance of the CR Basarabeasca
0032,General Directorate of Finance of the CR Briceni
0034,General Directorate of Finance of the CR Cahul
0036,General Directorate of Finance of the CR Cantemir
0038,General Directorate of Finance of the CR Calarasi
0040,General Directorate of Finance of the CR Causeni
0043,General Directorate of Finance of Gagauzia
0044,General Directorate of Finance of the CR Cimislia
0048,General Directorate of Finance of the CR Criuleni
0050,General Directorate of Finance of the CR Donduseni
0052,General Directorate of Finance of the CR Drochia
0053,General Directorate of Finance of the CR Dubasari
0055,General Directorate of Finance of the CR Edinet
0057,General Directorate of Finance of the CR Falesti
0059,General Directorate of Finance of the CR Floresti
0061,General Directorate of Finance of the CR Glodeni
0065,General Directorate of Finance of the CR Hincesti
0067,General Directorate of Finance of the CR Ialoveni
0069,General Directorate of Finance of the CR Leova
0071,General Directorate of Finance of the CR Nisporeni
0072,General Directorate of Finance of the CR Ocnita
0074,General Directorate of Finance of the CR Orhei
0076,General Directorate of Finance of the CR Rezina
0079,General Directorate of Finance of the CR Riscani
0081,General Directorate of Finance of the CR Singerei
0084,General Directorate of Finance of the CR Soroca
0086,General Directorate of Finance of the CR Straseni
0088,General Directorate of Finance of the CR Soldanesti
0089,General Directorate of Finance of the CR Stefan Voda
0091,General Directorate of Finance of the CR Taraclia
0093,General Directorate of Finance of the CR Telenesti
0095,General Directorate of Finance of the CR Ungheni
0101,Parliament
0102,Republic of Moldova's Presidency Office (apparatus)
0103,Court of Moldova
0104,State Chancellery
0106,Constitutional Court
0107,Superior Council of Magistracy
0108,Supreme Court
0113,Prosecutor General
0121,Ministry of Economy
0122,Ministry of Finance
0125,Ministry of Agriculture and Food Industry
0127,Ministry of Labour and Social Protection
0128,Ministry of Health
0129,Ministry of Education
0130,Ministry of Culture
0131,Ministry of Justice
0132,Defense Ministry
0133,Ministry of Internal Affairs
0135,Ministry of Foreign Affairs and European Integration
0143,National Statistics Office
0147,Ministry of Construction and Regional Development
0148,Ministry of Youth and Sports
0149,Interethnic Relations Bureau
0150,Civil Protection and Emergencies Service
0151,Cricova SA Winery
0152,Border Guard Service
0154,State Archive Service
0155,Land Relations and Cadastre Agency
0157,Academy of Sciences of Moldova
0158,Academy of Public Administration of the President of the Republic of Moldova
0159,Higher Attestation Commission of the Republic of Moldova
0161,Broadcasting Coordinating Council
0165,Geology and Resources Agency Minirale
0169,Material Reserves Agency
0172,The limited liability company Moldova-Gaz
0173,National Public Broadcasting IInstitutia Teleradio Moldova
0176,Association curative and Rehabilitation Sanatorium
0178,Moldsilva Agency
0179,State Hydrometeorological Service
0183,Protection Service and State Security
0188,Social Support Fund of the Population of Moldova
0195,Central Election Commission
0199,Special courier service
0200,General Actions
0205,Tourism Agency
0249,Social Investment Fund in Moldova
0257,Center for Human Rights
0262,National Library Board
0264,Ministry of Transport and Roads of infrastructure
0284,Ministry of Environment
