admin5,label
0002,Community center Cabaiesti
0003,Central Accounting Pohrebeni
0004,Tarasov village public library
0005,Lozova Museum
0006,Directorate for Social Assistane and Family Protection of the City of Balti
0007,Or.Telenesti orphanage (in the family Melnic Ion)
0008,Mayoralty of Condrita
0009,Municipal Public Library Banesti
0010,Village public library ever Brinzenii
0011,Tarasov Cultural Hall
0012,Community center Morozeni
0013,Community center Breanova
0014,Community center Gauzeni
0015,Community center Raspopeni
0016,Community center Samascani
0017,Socola Cultural Hall
0019,Tarasov Gymnasium
0020,Highschool Saseni
0022,Cultural Hall in November Firladenii
0023,Administration of the mayoralty of Condrita
0024,"Gymnasium, Ivancea"
0025,Gribova Museum
0026,Kindergarten ease
0027,Kindergarten Costesti
0028,Central Accounting Malaiesti
0029,Central Accounting Mirzesti
0030,Mayoralty of Elizaveta
0031,Kindergarten Pascauti
0032,Gymnasium Pascauti
0033,Library Damascani
0034,Central Accounting Clisova
0035,Damascani Kindergarten
0036,Club Duruitoarea
0037,Gymnasium Braniste
0038,Iliciovca School Musical
0039,Kindergarten Braniste
0040,Central Accounting Crihana
0041,Administration of the mayoralty of Elizaveta
0042,Mayoralty of Sadovoe
0043,Administration of the mayoralty of Sadovoe
0044,Art School Costesti
0045,Riscani School Musical
0046,Pelin Music School
0047,School of painting and fine arts Riscani
0048,Central Library Riscani
0049,Children's Library Riscani
0050,State Historical-Ethnographic Museum Riscani
0051,Social Assistance and Family Protection Department Riscani
0052,"L. Damian Lyceum, Riscani"
0053,Boarding school with special Costesti
0054,Mayoralty of Botnaresti
0055,Social service home Riscani
0056,Kindergarten no. 1 Hasnasenii Large
0057,Highschool Balatina
0058,Youth Policy Promotion Service Cocieri
0060,Administration of the mayoralty of Botnaresti
0061,Mayoralty of Calfa
0062,Kindergarten no. Hasnasenii November 2
0063,State Historical-Ethnographic Museum Cuhnesti
0064,State Historical-Ethnographic Museum Iablona
0065,Lazo Cultural Hall
0066,Lazo Library
0067,Administration of the mayoralty of Calfa
0068,Mayoralty of Merenii Noi
0069,Children's creative center Glodeni
0070,Cocieri Transport Service
0072,Music School Hijdieni
0073,Center children
0074,Cuhnesti School Musical
0075,Cocieri Housing Stock
0076,Cocieri Psychopedagogical Service
0077,No library. 1 Glodeni
0078,Social service home Glodeni
0079,Department of social and family protection Glodeni
0080,Administration of the mayoralty of Merenii Noi
0081,Kindergarten Pirjota
0082,Mayoralty of Ochiul Ros
0083,Falesti School Sports
0084,Social service home Falesti
0085,Community center Racari
0086,Administration of the mayoralty of Ochiul Ros
0087,Central Accounting Dawn
0088,State Historical-Ethnographic Museum Falesti
0089,No community center. 1 Falesti
0091,Falesti School Musical
0092,School Arts Falesti
0094,Rest Camp Grove Soldanesti
0095,Creation House Falesti
