admin4,label
0008,Mayoralty of Condrita
0030,Mayoralty of Elizaveta
0042,Mayoralty of Sadovoe
0054,Mayoralty of Botnaresti
0061,Mayoralty of Calfa
0068,Mayoralty of Merenii Noi
0082,Mayoralty of Ochiul Ros
0098,Mayoralty of Telita
0171,Mayoralty of Zolotievca
0173,Mayoralty of the municipality of Balti
0178,Mayoralty of Balcauti
0180,Mayoralty of Bogdanesti
0182,Mayoralty of Bulboaca
0290,Mayoralty of Borosenii Noi
0296,Mayoralty of Braniste
0303,Mayoralty of Vasileuti
0325,Mayoralty of Corlateni
0338,Mayoralty of Mihaileni
0346,Mayoralty of Pelinia
0354,Mayoralty of Racaria
0371,Mayoralty of Pirjota
0378,Mayoralty of Recea
0404,Mayoralty of Sturzeni
0418,Mayoralty of Hiliuti
0424,Mayoralty of Nihoreni
0430,Mayoralty of Saptebani
0451,Mayoralty of the city of Riscani
0465,Mayoralty of the city of Costesti
0482,Mayoralty of Sofia
0490,Mayoralty of Dominteni
0499,Mayoralty of Hasnasenii Mari
0515,Mayoralty of Balatina
0524,Mayoralty of Danu
0546,Mayoralty of Camenca
0554,Mayoralty of Cajba
0555,Mayoralty of Cobani
0561,Mayoralty of Cuhnesti
0583,Mayoralty of Limbenii Noi
0594,Mayoralty of Limbenii Vechi
0601,Mayoralty of Hlina
0603,Mayoralty of Dusmani
0611,Mayoralty of Petrunea
0619,Mayoralty of Sturzovca
0626,Mayoralty of Ustia
0634,Mayoralty of Fundurii Vechi
0642,Mayoralty of Ciuciulea
0648,Mayoralty of Iabloana
0657,Mayoralty of the city of Glodeni
0665,Mayoralty of Albinetul Vechi
0671,Mayoralty of Bocani
0680,Mayoralty of Glinjeni
0685,Mayoralty of Egorovca
0695,Mayoralty of Ilenuta
0699,Mayoralty of Iscalau
0712,Mayoralty of Izvoare
0717,Mayoralty of Calinesti
0728,Mayoralty of Calugar
0738,Mayoralty of Marandeni
0743,Mayoralty of Natalievca
0767,Mayoralty of Navirnet
0774,Mayoralty of Obreja Veche
0782,Mayoralty of Pruteni
0789,Mayoralty of Pinzareni
0797,Mayoralty of Pirlita
0801,Mayoralty of Rautel
0805,Mayoralty of Scumpia
0812,Mayoralty of Sarata Veche
0822,Mayoralty of Falestii Noi
0828,Mayoralty of Hiliuti
0835,Mayoralty of Horesti
0848,Mayoralty of Ciolacu Nou
0858,Mayoralty of the city of Falesti
0877,Mayoralty of Alexandreni
0893,Mayoralty of Bilicenii Noi
0903,Mayoralty of Bilicenii Vechi
0912,Mayoralty of Chiscareni
0929,Mayoralty of Copaceni
