admin6,label
005,Constitutional authority
010,Central apparatus (office) of ministries and other administrative authorities
014,Administrative authorities within ministries
015,Executive authorities under the local public administration authorities
016,Regional offices of the Government Office (Apparatus)
017,Central Office (Apparatus) of the Financial Control and Review Service
019,Main State Tax Inspectorate
020,Regional State Tax Inspectorates
023,Embassies
028,Cross-parliament organization fees
029,Other international organization fees
030,Participation (membership) fees for keeping up and running the cross-country structures for the coordination of CIS countries
034,Administrative-military activities
035,National Army
037,Internal Affairs authorities
038,Municipal internal affairs authorities
039,Carabineer troops
040,National security authorities
041,State Guard and Security authorities
042,Alternative service
043,Other facilities
044,Civil protection
045,Rescue and firefighting service
047,Judges
049,Penitentiary facilities
050,Free-of-charge state lawyer services
051,Preschool facilities
052,Primary schools
053,General secondary schools
055,Evening secondary schools (in shifts) and distance learning
056,Secondary education boarding schools
057,Special regimen boarding schools
058,Rehab treatment boarding schools (sanatoria)
059,Vocational schools
060,Vocational high schools
061,Job schools
062,Specialized vocational schools
063,Colleges
064,"Academies, universities and other university-level higher education facilities"
065,Postgraduate education
066,Staff (re)training courses and facilities
067,Other education facilities for staff retraining
068,Orphanages
069,Summer recreation for children
070,Extracurricular measures and facilities for children
071,Methodological work and technical provisions in education
072,Spending to ensure the enforcement/application of languages
073,Centralized accounting offices
074,Centralized administrative maintenance services
075,Other education actions and facilities
080,Archive facilities
085,Physical education and sports
086,"Water safeguards posts, stations and services"
087,Libraries
088,Museums and exhibitions
089,"Culture palaces and houses, clubs and other similar facilities"
090,"Theatres, philharmonics, music groups and bands"
091,Other culture/education activities and facilities
092,Youth activities
093,Support for cinematography
094,TV and radio broadcasting
095,Editorials of periodicals
096,Printables and book sales
098,Support for the culture projects of public organizations
099,Confessions related measures
100,Edification and protection of historic/cultural values
101,Other culture/artistic measures
102,Schools/kindergartens
103,"Measures taken towards organizing graduation exams in lower secondary education facilities, secondary education facilities and bachelor degree exams in upper secondary education schools"
104,Technology transfer topics and projects awarded on a competitive basis
105,Hospitals
107,Specialized polyclinics and outpatient departments
110,Transfusion centers
111,Centers for Preventive Medicine
113,TB/lung and rehab centers for children
114,Children recovery and rehabilitation centers
115,Early childhood placement and rehabilitation centers
116,Outbreak control actions
118,National Board for Disability Certification
121,Other health care actions and facilities
124,Shelters for the disabled underage
125,Physical education and sports facilities
126,Shelters for the elderly and disabled
127,Orthopedic prosthetics for the disabled
128,Travel compensations for war veterans and the disabled
129,Home care services
130,Labor protection facilities
131,Other social support and care actions and facilities
134,Other transfers to the state social insurance budget
135,Operation of irrigation systems
139,National Center for Veterinary Diagnostics
140,Epizootic control measures
143,Pest control plant protection measures
145,State Committee for testing crop varieties
148,National Center for Radioactive Control
149,Agriculture promotion and contests
154,Alcohol Production Supervision State Inspectorate
155,Special services for active actions on hydrometeorology events
157,Other agriculture related activities and facilities
158,Winegrowing development measures
159,Measures to develop fruit trees and nursery
160,Measures to support pure animal breeds
161,Soil fertility enhancement and recovery erosion control works
165,Surveying and designing facilities
166,Construction State Inspection
167,Roads office
168,State support for the naval transportation
169,State support for the railroad transportation
170,State support for motor vehicles
172,Municipal trolleybus and motor vehicle offices
173,Other transport and communication services
175,Housing
176,Production Department of the utilities office and for the housing operation office
178,Urban planning/development in municipalities
179,"Districts, towns, villages (communities) planning/development"
180,Keeping up clean streets in municipalities
181,Street lights
182,State Environment Inspectorate and regional environment agencies
183,Special utility facilities
184,Special purpose regional programs to build the national economy
185,"Geodesy, mapping and cadastre measures"
186,Hydrometeorology measures
187,State support for producers and entrepreneurs
189,Population social support funds
190,Environment funds
191,Animal identification and traceability system
192,"Interest payments on the loans granted by other countries, international finance organizations, foreign banks and companies"
193,Interest payments on government securities
194,Interest payments on the loans granted by the National Bank of Moldova and accounted for as internal government debts
196,Interest payments on the loans granted by finance facilities
197,Servicing of other loans
198,Phased indexing of citizens' deposits with the Banca de Economii
202,State support for the small business
203,Running presidency elections in the Republic of Moldova
204,Running Parliament elections
205,Running local public administration authority elections
206,Conducting referendums
207,Spending earmarked for emergency situations and coping with consequences of natural disasters
212,Government reserves fund
213,Local public administration authorities reserves fund
214,other costs
215,Official form printouts
216,Accounting reforms and implementation of the tax code
217,Processing of statistical data
218,Building maintenance services
219,Transportation services
220,Centralized allocations
221,Specialty regional office operations
223,Transfers to financially support regions made to another-tier budgets
224,Transfers to the village (community) and city (municipality) budgets
225,"Special purpose transfers to the district, municipal budgets and to the central budget of the autonomous territorial unit (ATU) holding a special legal status"
226,Special purpose transfers to higher-tier budgets
228,Computer Center
232,Compensations provided to exonerated citizens
233,Geological surveying measures
234,Courts of appeal
235,Regional treasury offices under the Ministry of Finance
240,Doctoral degree
241,Postgraduate degree
242,Residency
243,Internship
244,Master's degree
246,Hostels
249,Sports complexes
250,Subsidies for the interest payable on the preferential bank loans granted to construction cooperatives
251,Headquarters of the Customs Department
255,Power grids
258,Repayment of preferential loans granted to certain groups of population
259,Subsidies for the interest payable on preferential bank loans granted to certain groups of population
260,Social aid canteen services
262,Social assistance measures taken for war veterans
264,Pension entitlements set through the public social insurance system for court prosecutors and judges
265,State support for tourism
266,Compensation for the amounts called off of the state social insurance premiums
269,Youth facilities
270,Compensation for the mandatory state social insurance tariff balance in agriculture
273,Support for the young teaching staff from rural areas
277,Judicial administration
278,Judicial expertise
281,Net lending
286,Central Election Commission operations
287,Crediting for ballot candidates
288,Land reforms actions
289,Real estate valuation and revaluation
290,State support for farming enterprises
291,Support for farming producers
293,Community-based social assistance services
294,Rehabilitation centers for the retired and disabled
296,Labor market measures and facilities
302,Family physician centers
303,Bank servicing of budget revenues
307,Privatization and post-privatization measures
308,Social day care centers for children
309,Mandatory health insurance
310,Conducting census
311,Homeless social assistance facilities
312,Government support for export promotion
315,Harmonization of legislation
316,Regional general register office services
317,Regional population records-keeping and documentation services
322,Joint network for household budget and labor force surveys
330,Registration and protection of government-owned brand names
337,Gymnasiums
338,Lyceums
340,Cross-border cooperation with EU
411,Review and endorsement of agriculture subsidies
413,Compensation for the construction (purchase) of housing
414,One-off compensation for piping into the natural gas main payable to certain population groups from the rural area
415,Natural gas pipelines
416,Engineering networks
417,Protection actions and measures against natural disasters and manmade phenomena
418,"Standardization, metrology and consumer protection measures"
419,Measures taken in the area of technical supervision of dangerous industrial facilities
424,Balneotherapy (spa treatment) for the retired
426,Pensions for conscripts and their family members
427,Pensions for the participants liquidating the consequences of the Chernobyl breakdown
428,Pension entitlements set through the public social insurance system payable to deputies
