admin2,admin3,admin4,admin5,admin6,amount
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,"Academies, universities and other university-level higher education facilities",6495200.0
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,Actions taken towards preparing and editing of Moldova's Encyclopedia,0.0
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,Basic and applied research in mathematics,355000.0
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,Central apparatus (office) of ministries and other administrative authorities,9990507.319999998
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,Centralized allocations,14562416.67
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,"Developing competitiveness and sustainable economic growth in the context of a knowledge-based economy, globalization and regional and European integration",500000.0
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,Doctoral degree,2964000.0
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,Expert review of research/development papers,0.0
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,Individual topics and projects for young researchers,1305000.0
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,Institutional research,45960000.0
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,Master's degree,540000.0
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,Postgraduate degree,2511200.0
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,Research and innovation development coordination services,4918571.51
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,Research ensuring facilities,5097785.260000001
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,"Systems for use of renewable energy, mechatronic devices, industrial and satellite technologies",250000.0
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,Technology transfer topics and projects awarded on a competitive basis,0.0
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,Topics and projects carried out based on international technical/research programs,1772700.0
Academy of Sciences of Moldova,Andrew Lupan Central Scientific Library of the Academy of Sciences of Moldova,NO VALUE,NO DATA,Research ensuring facilities,6288085.519999999
Academy of Sciences of Moldova,Botanical Garden Institute of the Academy of Sciences of Moldova,NO VALUE,NO DATA,Individual topics and projects for young researchers,169988.0
Academy of Sciences of Moldova,Botanical Garden Institute of the Academy of Sciences of Moldova,NO VALUE,NO DATA,Institutional research,8948469.27
Academy of Sciences of Moldova,Botanical Garden Institute of the Academy of Sciences of Moldova,NO VALUE,NO DATA,Technology transfer topics and projects awarded on a competitive basis,369999.2
Academy of Sciences of Moldova,Botanical Garden Institute of the Academy of Sciences of Moldova,NO VALUE,NO DATA,Topics and projects carried out based on international technical/research programs,100000.0
Academy of Sciences of Moldova,Expertize Advisory Council public institution,NO VALUE,NO DATA,Expert review of research/development papers,1022212.08
Academy of Sciences of Moldova,Fundamental and applicative research financing center,NO VALUE,NO DATA,Research and innovation development coordination services,489033.0800000001
Academy of Sciences of Moldova,"Genetics, Physiology, and Plants Protection Public Institution of the Academy of Sciences",NO VALUE,NO DATA,Institutional research,23640962.46
Academy of Sciences of Moldova,"Genetics, Physiology, and Plants Protection Public Institution of the Academy of Sciences",NO VALUE,NO DATA,Technology transfer topics and projects awarded on a competitive basis,219787.91
Academy of Sciences of Moldova,"Genetics, Physiology, and Plants Protection Public Institution of the Academy of Sciences",NO VALUE,NO DATA,Topics and projects carried out based on international technical/research programs,602405.42
Academy of Sciences of Moldova,Heritage Institute,NO VALUE,NO DATA,Centralized allocations,19992.0
Academy of Sciences of Moldova,Heritage Institute,NO VALUE,NO DATA,Institutional research,6344156.83
Academy of Sciences of Moldova,Institute for European Integration and Political Science,NO VALUE,NO DATA,Centralized allocations,37450.0
Academy of Sciences of Moldova,Institute for European Integration and Political Science,NO VALUE,NO DATA,Institutional research,4602508.74
Academy of Sciences of Moldova,Institute of Applied Physics,NO VALUE,NO DATA,Individual topics and projects for young researchers,94719.33
Academy of Sciences of Moldova,Institute of Applied Physics,NO VALUE,NO DATA,Institutional research,14250105.93
Academy of Sciences of Moldova,Institute of Applied Physics,NO VALUE,NO DATA,Topics and projects carried out based on international technical/research programs,1064090.1600000001
Academy of Sciences of Moldova,Institute of Chemistry,NO VALUE,NO DATA,Individual topics and projects for young researchers,169744.0
Academy of Sciences of Moldova,Institute of Chemistry,NO VALUE,NO DATA,Institutional research,10705651.54
Academy of Sciences of Moldova,Institute of Chemistry,NO VALUE,NO DATA,Topics and projects carried out based on international technical/research programs,608897.8799999999
Academy of Sciences of Moldova,Institute of Ecology and Geography,NO VALUE,NO DATA,Individual topics and projects for young researchers,94781.57
Academy of Sciences of Moldova,Institute of Ecology and Geography,NO VALUE,NO DATA,Institutional research,7433553.270000001
Academy of Sciences of Moldova,Institute of Ecology and Geography,NO VALUE,NO DATA,Topics and projects carried out based on international technical/research programs,149758.01
Academy of Sciences of Moldova,"Institute of Economy, Finance and Statistics",NO VALUE,NO DATA,"Developing competitiveness and sustainable economic growth in the context of a knowledge-based economy, globalization and regional and European integration",99785.06000000001
Academy of Sciences of Moldova,"Institute of Economy, Finance and Statistics",NO VALUE,NO DATA,Individual topics and projects for young researchers,79914.2
Academy of Sciences of Moldova,"Institute of Economy, Finance and Statistics",NO VALUE,NO DATA,Institutional research,7918914.3599999985
Academy of Sciences of Moldova,"Institute of Economy, Finance and Statistics",NO VALUE,NO DATA,Research ensuring facilities,1847993.6600000001
Academy of Sciences of Moldova,"Institute of Economy, Finance and Statistics",NO VALUE,NO DATA,Topics and projects carried out based on international technical/research programs,99826.14000000001
Academy of Sciences of Moldova,Institute of Education Sciences,NO VALUE,NO DATA,Institutional research,4512701.340000001
Academy of Sciences of Moldova,Institute of Electronics Engineering and Industrial Technologies,NO VALUE,NO DATA,Individual topics and projects for young researchers,94947.0
Academy of Sciences of Moldova,Institute of Electronics Engineering and Industrial Technologies,NO VALUE,NO DATA,Institutional research,11483367.989999998
Academy of Sciences of Moldova,Institute of Electronics Engineering and Industrial Technologies,NO VALUE,NO DATA,Topics and projects carried out based on international technical/research programs,556825.72
Academy of Sciences of Moldova,Institute of Genetics and Plant Physiology,NO VALUE,NO DATA,Institutional research,0.0
Academy of Sciences of Moldova,Institute of Geology and Seismology,NO VALUE,NO DATA,Institutional research,5241030.85
Academy of Sciences of Moldova,Institute of Geology and Seismology,NO VALUE,NO DATA,Topics and projects carried out based on international technical/research programs,60545.35
Academy of Sciences of Moldova,"Institute of History, State and Law",NO VALUE,NO DATA,Centralized allocations,20000.0
Academy of Sciences of Moldova,"Institute of History, State and Law",NO VALUE,NO DATA,Individual topics and projects for young researchers,79951.64
Academy of Sciences of Moldova,"Institute of History, State and Law",NO VALUE,NO DATA,Institutional research,4358782.929999999
Academy of Sciences of Moldova,"Institute of History, State and Law",NO VALUE,NO DATA,Topics and projects carried out based on international technical/research programs,64999.8
Academy of Sciences of Moldova,Institute of Mathematics and Computer Science,NO VALUE,NO DATA,Basic and applied research in mathematics,144868.53
Academy of Sciences of Moldova,Institute of Mathematics and Computer Science,NO VALUE,NO DATA,Individual topics and projects for young researchers,239999.2
Academy of Sciences of Moldova,Institute of Mathematics and Computer Science,NO VALUE,NO DATA,Institutional research,4085537.5
Academy of Sciences of Moldova,Institute of Mathematics and Computer Science,NO VALUE,NO DATA,Technology transfer topics and projects awarded on a competitive basis,399912.5
Academy of Sciences of Moldova,Institute of Mathematics and Computer Science,NO VALUE,NO DATA,Topics and projects carried out based on international technical/research programs,480407.93000000005
Academy of Sciences of Moldova,Institute of Microbiology and Biotechnology,NO VALUE,NO DATA,Individual topics and projects for young researchers,164930.41999999998
Academy of Sciences of Moldova,Institute of Microbiology and Biotechnology,NO VALUE,NO DATA,Institutional research,7918151.14
Academy of Sciences of Moldova,Institute of Microbiology and Biotechnology,NO VALUE,NO DATA,Topics and projects carried out based on international technical/research programs,57624.0
Academy of Sciences of Moldova,"Institute of Pedology, Agrochemistry and Soil Nicolae Dimo",NO VALUE,NO DATA,Institutional research,5547532.17
Academy of Sciences of Moldova,"Institute of Pedology, Agrochemistry and Soil Nicolae Dimo",NO VALUE,NO DATA,Topics and projects carried out based on international technical/research programs,149948.5
Academy of Sciences of Moldova,Institute of Philology of the Academy of Sciences of Moldova,NO VALUE,NO DATA,Centralized allocations,17500.0
Academy of Sciences of Moldova,Institute of Philology of the Academy of Sciences of Moldova,NO VALUE,NO DATA,Individual topics and projects for young researchers,89888.83
Academy of Sciences of Moldova,Institute of Philology of the Academy of Sciences of Moldova,NO VALUE,NO DATA,Institutional research,6009643.460000001
Academy of Sciences of Moldova,Institute of Physiology and Sanocreatology,NO VALUE,NO DATA,Centralized allocations,15000.0
Academy of Sciences of Moldova,Institute of Physiology and Sanocreatology,NO VALUE,NO DATA,Institutional research,5115165.600000001
Academy of Sciences of Moldova,Institute of Plant Protection and Ecological Agriculture,NO VALUE,NO DATA,Institutional research,0.0
Academy of Sciences of Moldova,Institute of Practical Stiitifico phytotechny,NO VALUE,NO DATA,Innovation infrastructures,160872.47999999998
Academy of Sciences of Moldova,Institute of Practical Stiitifico phytotechny,NO VALUE,NO DATA,Institutional research,10651861.319999998
Academy of Sciences of Moldova,Institute of Practical Stiitifico phytotechny,NO VALUE,NO DATA,Topics and projects carried out based on international technical/research programs,149848.95
Academy of Sciences of Moldova,Institute of Zoology of Academy of Sciences,NO VALUE,NO DATA,Individual topics and projects for young researchers,84937.13
Academy of Sciences of Moldova,Institute of Zoology of Academy of Sciences,NO VALUE,NO DATA,Institutional research,14582259.540000001
Academy of Sciences of Moldova,Institute of Zoology of Academy of Sciences,NO VALUE,NO DATA,Topics and projects carried out based on international technical/research programs,64996.0
Academy of Sciences of Moldova,Institute practical horticulture science and food technology,NO VALUE,NO DATA,Individual topics and projects for young researchers,84853.0
Academy of Sciences of Moldova,Institute practical horticulture science and food technology,NO VALUE,NO DATA,Institutional research,16375731.350000001
Academy of Sciences of Moldova,Institute practical horticulture science and food technology,NO VALUE,NO DATA,Postgraduate degree,142889.0
Academy of Sciences of Moldova,Institute practical horticulture science and food technology,NO VALUE,NO DATA,Technology transfer topics and projects awarded on a competitive basis,184548.15
Academy of Sciences of Moldova,Institute practical horticulture science and food technology,NO VALUE,NO DATA,Topics and projects carried out based on international technical/research programs,211677.49999999997
Academy of Sciences of Moldova,International Projects Centre,NO VALUE,NO DATA,"Actions to coordinate the activities of MOST, NCP, and program committees",1454150.94
Academy of Sciences of Moldova,International Projects Centre,NO VALUE,NO DATA,Research and innovation development coordination services,1659376.04
Academy of Sciences of Moldova,Luce Academy of Sciences of Moldova,NO VALUE,NO DATA,Hostels,1220810.8299999998
Academy of Sciences of Moldova,Luce Academy of Sciences of Moldova,NO VALUE,NO DATA,Lyceums,6161342.720000001
Academy of Sciences of Moldova,National Centre for Preventive Medicine,NO VALUE,NO DATA,Individual topics and projects for young researchers,84945.0
Academy of Sciences of Moldova,National Centre for Preventive Medicine,NO VALUE,NO DATA,Institutional research,5145773.42
Academy of Sciences of Moldova,National Centre for Reproductive Health and Medical Genetics,NO VALUE,NO DATA,Institutional research,71142.39
Academy of Sciences of Moldova,National Museum of Archaeology and History of Moldova,NO VALUE,NO DATA,Institutional research,1699824.87
Academy of Sciences of Moldova,National Museum of Ethnography and Natural History,NO VALUE,NO DATA,Institutional research,1220200.81
Academy of Sciences of Moldova,Power Institute,NO VALUE,NO DATA,Centralized allocations,15000.0
Academy of Sciences of Moldova,Power Institute,NO VALUE,NO DATA,Institutional research,3107582.1299999994
Academy of Sciences of Moldova,"Practical Porumbeni Stintifico Center, a branch of the Institute of Crop Production and Applied Stintifico",NO VALUE,NO DATA,Institutional research,14698393.470000003
Academy of Sciences of Moldova,Practical Stiitifico Institute of Biotechnology in animal husbandry and veterinary medicine,NO VALUE,NO DATA,Institutional research,4052183.41
Academy of Sciences of Moldova,Practical Stiitifico Institute of Biotechnology in animal husbandry and veterinary medicine,NO VALUE,NO DATA,Technology transfer topics and projects awarded on a competitive basis,43842.0
Academy of Sciences of Moldova,State Agency for Innovation and Technology Transfer,NO VALUE,NO DATA,Academica” technological park,999995.0
Academy of Sciences of Moldova,State Agency for Innovation and Technology Transfer,NO VALUE,NO DATA,Innovation infrastructures,280000.0
Academy of Sciences of Moldova,State Agency for Innovation and Technology Transfer,NO VALUE,NO DATA,Research and innovation development coordination services,3821740.459999999
Academy of Sciences of Moldova,State Agency for Innovation and Technology Transfer,NO VALUE,NO DATA,Technology transfer topics and projects awarded on a competitive basis,4991470.0
Academy of Sciences of Moldova,Wikipedia Moldova,NO VALUE,NO DATA,Actions taken towards preparing and editing of Moldova's Encyclopedia,5596482.58
Academy of Sciences of Moldova,Wikipedia Moldova,NO VALUE,NO DATA,Centralized allocations,40000.0
Academy of Sciences of Moldova,Wikipedia Moldova,NO VALUE,NO DATA,Individual topics and projects for young researchers,159863.5
Academy of Sciences of Moldova,Wikipedia Moldova,NO VALUE,NO DATA,Institutional research,435214.0
Agency for Cadastre and Land related Affairs,Land Relations and Cadastre Agency,NO VALUE,NO DATA,Central apparatus (office) of ministries and other administrative authorities,4882720.879999999
Agency for Cadastre and Land related Affairs,Land Relations and Cadastre Agency,NO VALUE,NO DATA,"Geodesy, mapping and cadastre measures",1627999.0
Agency for Cadastre and Land related Affairs,Land Relations and Cadastre Agency,NO VALUE,NO DATA,Land reforms actions,14534461.0
Agency for Cadastre and Land related Affairs,Land Relations and Cadastre Agency,NO VALUE,NO DATA,Real estate valuation and revaluation,14000000.0
Agency for Cadastre and Land related Affairs,Land Relations and Cadastre Agency,NO VALUE,NO DATA,Soil fertility enhancement and recovery erosion control works,22300000.0
Agency for Cadastre and Land related Affairs,Land Relations and Cadastre Agency,NO VALUE,NO DATA,other costs,13800000.0
Archives State Service,State Archive Service,NO VALUE,NO DATA,Archive facilities,4708705.489999998
Archives State Service,State Archive Service,NO VALUE,NO DATA,Central apparatus (office) of ministries and other administrative authorities,1903823.0399999998
Bureau for Cross-ethnic Relations,Interethnic Relations Bureau,NO VALUE,NO DATA,Central apparatus (office) of ministries and other administrative authorities,2416744.6099999994
Bureau for Cross-ethnic Relations,Interethnic Relations Bureau,NO VALUE,NO DATA,Other culture/education activities and facilities,580354.51
Bureau for Cross-ethnic Relations,Interethnic Relations Bureau,NO VALUE,NO DATA,other costs,76740.27
Center for Economic Crime and Corruption Control,Center for Combating Economic Crimes and Corruption,NO VALUE,NO DATA,Central apparatus (office) of ministries and other administrative authorities,48709019.81000002
Center for Economic Crime and Corruption Control,Center for Combating Economic Crimes and Corruption,NO VALUE,NO DATA,Other social support and care actions and facilities,11737296.0
Center for Economic Crime and Corruption Control,Center for Combating Economic Crimes and Corruption,NO VALUE,NO DATA,Social assistance measures taken for war veterans,165000.0
Center for Economic Crime and Corruption Control,Center for Combating Economic Crimes and Corruption,NO VALUE,NO DATA,Specialty regional office operations,9567458.320000002
Center for Human Rights,Center for Human Rights,NO VALUE,NO DATA,Central apparatus (office) of ministries and other administrative authorities,5850782.58
Center for Human Rights,Center for Human Rights,NO VALUE,NO DATA,Justice reform implementation,281446.0
Central Election Commission,Central Election Commission,NO VALUE,NO DATA,Central Election Commission operations,11335674.43
Central Election Commission,Central Election Commission,NO VALUE,NO DATA,Conducting referendums,5804.39
Central Election Commission,Central Election Commission,NO VALUE,NO DATA,Running local public administration authority elections,79543.61
Central Election Commission,Election Council of Anenii Noi City Electoral District No. 1,NO VALUE,NO DATA,Conducting referendums,15558.04
Central Election Commission,"Election Council of Chetrosu Electoral District No. 5, Anenii Noi",NO VALUE,NO DATA,Running local public administration authority elections,29387.75
Central Election Commission,"Election Council of Manta Electoral District No. 27, Cahul Region",NO VALUE,NO DATA,Running local public administration authority elections,25784.68
Central Election Commission,"Election Council of Mincenii de Jos Electoral District No. 15, Rezina Region",NO VALUE,NO DATA,Running local public administration authority elections,17067.1
Central Election Commission,"Election Council of Sateasca Oliscani Electoral District No. 13, Soldanesti Region",NO VALUE,NO DATA,Running local public administration authority elections,15096.75
Central Election Commission,"Election Council of Sateasca Visoca Electoral District No. 33, Sor Region",NO VALUE,NO DATA,Running local public administration authority elections,27616.05
Central Election Commission,Election Council of Ucrainca Electoral District No. 25,NO VALUE,NO DATA,Running local public administration authority elections,30074.64
Central Election Commission,Electoral continuous education center at the Central Electoral Commission,NO VALUE,NO DATA,Other facilities,999334.4700000001
Central Election Commission,"Polling station for Lebedenco Electoral District No. 24, Cahul Region",NO VALUE,NO DATA,Conducting referendums,15265.07
Central Election Commission,Polling stations for electoral districts Nos. 1-7 of Anenii Noi city electoral district,NO VALUE,NO DATA,Conducting referendums,61558.52
Central Election Commission,"Polling stations for electoral districts Nos. 15/25 and 15/26 of Mincenii de Jos Commune, Rezina Region",NO VALUE,NO DATA,Running local public administration authority elections,21262.22
Central Election Commission,"Polling stations for electoral districts Nos. 27/50 and 27/51 of Manta Commune, Cahul Region",NO VALUE,NO DATA,Running local public administration authority elections,29461.96
Central Election Commission,"Polling stations for electoral districts Nos. 46 and 47 of Lebedenko Commune, Cahul Region",NO VALUE,NO DATA,Conducting referendums,13792.62
Central Election Commission,"Polling stations for electoral districts Nos. 5/12, 5/13, and 5/14 of Chetrosu Commune, Anenii Noi Region",NO VALUE,NO DATA,Running local public administration authority elections,59090.700000000004
Civil Service Center,Alternative Direction Service,NO VALUE,NO DATA,Alternative service,1148671.45
Constitutional Court,Constitutional Court,NO VALUE,NO DATA,Constitutional authority,8843221.21
Constitutional Court,Constitutional Court,NO VALUE,NO DATA,Justice reform implementation,216100.0
Council of the municipality of Balti,NO DATA,Mayoralty of Elizaveta,NO DATA,Bank servicing of budget revenues,982.07
Council of the municipality of Balti,NO DATA,Mayoralty of Elizaveta,NO DATA,Centralized accounting offices,88578.45
Council of the municipality of Balti,NO DATA,Mayoralty of Elizaveta,NO DATA,"Culture palaces and houses, clubs and other similar facilities",186358.81
Council of the municipality of Balti,NO DATA,Mayoralty of Elizaveta,NO DATA,"Districts, towns, villages (communities) planning/development",10941.43
Council of the municipality of Balti,NO DATA,Mayoralty of Elizaveta,NO DATA,Executive authorities under the local public administration authorities,594474.2999999999
Council of the municipality of Balti,NO DATA,Mayoralty of Elizaveta,NO DATA,Home care services,10000.0
Council of the municipality of Balti,NO DATA,Mayoralty of Elizaveta,NO DATA,Libraries,31331.68
Council of the municipality of Balti,NO DATA,Mayoralty of Elizaveta,NO DATA,Local public administration authorities reserves fund,19000.0
Council of the municipality of Balti,NO DATA,Mayoralty of Elizaveta,NO DATA,Other social support and care actions and facilities,44400.0
Council of the municipality of Balti,NO DATA,Mayoralty of Elizaveta,NO DATA,Physical education and sports,2746.2
Council of the municipality of Balti,NO DATA,Mayoralty of Elizaveta,NO DATA,Preschool facilities,1244500.33
Council of the municipality of Balti,NO DATA,Mayoralty of Elizaveta,NO DATA,Youth activities,0.0
Council of the municipality of Balti,NO DATA,Mayoralty of Elizaveta,NO DATA,other costs,250000.0
Council of the municipality of Balti,NO DATA,Mayoralty of Sadovoe,NO DATA,Bank servicing of budget revenues,304.03
Council of the municipality of Balti,NO DATA,Mayoralty of Sadovoe,NO DATA,Centralized accounting offices,23683.779999999995
Council of the municipality of Balti,NO DATA,Mayoralty of Sadovoe,NO DATA,Civil protection,800.0
Council of the municipality of Balti,NO DATA,Mayoralty of Sadovoe,NO DATA,"Culture palaces and houses, clubs and other similar facilities",94415.04999999999
Council of the municipality of Balti,NO DATA,Mayoralty of Sadovoe,NO DATA,"Districts, towns, villages (communities) planning/development",13279.29
Council of the municipality of Balti,NO DATA,Mayoralty of Sadovoe,NO DATA,Executive authorities under the local public administration authorities,426327.8700000001
Council of the municipality of Balti,NO DATA,Mayoralty of Sadovoe,NO DATA,Libraries,38276.43
Council of the municipality of Balti,NO DATA,Mayoralty of Sadovoe,NO DATA,Local public administration authorities reserves fund,11000.0
Council of the municipality of Balti,NO DATA,Mayoralty of Sadovoe,NO DATA,Other culture/education activities and facilities,11476.58
Council of the municipality of Balti,NO DATA,Mayoralty of Sadovoe,NO DATA,Physical education and sports,0.0
Council of the municipality of Balti,NO DATA,Mayoralty of Sadovoe,NO DATA,Preschool facilities,629970.6900000002
Council of the municipality of Balti,NO DATA,Mayoralty of Sadovoe,NO DATA,Street lights,7641.65
Council of the municipality of Balti,NO DATA,Mayoralty of Sadovoe,NO DATA,Youth activities,0.0
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Administrative-military activities,463022.57
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Bank servicing of budget revenues,148898.66
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Centralized accounting offices,1950510.2599999995
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Centralized administrative maintenance services,1030341.1799999998
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Centralized allocations,1278870.0
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Civil protection,230636.0
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Community-based social assistance services,1035686.6799999999
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Compensations provided to exonerated citizens,313580.73
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,"Culture palaces and houses, clubs and other similar facilities",5687237.239999997
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Environment funds,1167349.5
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Executive authorities under the local public administration authorities,17408794.5
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Extracurricular measures and facilities for children,10090295.390000012
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Family support service,0.0
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Foster care service,0.0
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Gymnasiums,19325120.090000004
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Home care services,3034685.43
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Homeless social assistance facilities,617339.8099999999
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Housing,4468100.0
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Keeping up clean streets in municipalities,9853102.0
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Libraries,2694146.56
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Local public administration authorities reserves fund,845604.01
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Lyceums,71138185.91000003
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,"Measures taken towards organizing graduation exams in lower secondary education facilities, secondary education facilities and bachelor degree exams in upper secondary education schools",65973.4
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Methodological work and technical provisions in education,293116.21
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Municipal trolleybus and motor vehicle offices,13015698.64
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Municipal/district service for psycho-pedagogical assistance,0.0
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Museums and exhibitions,718675.4299999999
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Net lending,-2100.0
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Orphanages,50484.15
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Other culture/education activities and facilities,430743.78
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Other education actions and facilities,0.0
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Other education facilities for staff retraining,120000.0
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Other social support and care actions and facilities,12665859.57
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Personal assistance service,0.0
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Physical education and sports,320918.5
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Physical education and sports facilities,12602397.21
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Population social support funds,4640850.289999999
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Preschool facilities,67093182.000000015
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Primary schools,3203751.3899999997
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Prosthetics and orthopedics services,47862.39
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Psycho-social rehab centers for family violence victims,683905.7000000001
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Rehabilitation centers for the retired and disabled,708936.34
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Repayment of preferential loans granted to certain groups of population,487750.0
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Roads office,15317736.350000001
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Shelters for the elderly and disabled,481130.67999999993
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Social aid canteen services,595111.88
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Social assistance placement centers for children,1721592.3499999999
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Social day care centers for children,1076494.0600000003
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Special regimen boarding schools,2133739.37
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Special utility facilities,200000.0
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Street lights,5516346.5
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Summer recreation for children,562026.0900000001
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Travel compensations for war veterans and the disabled,211033.18
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Urban planning/development in municipalities,11816549.94
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,"Water safeguards posts, stations and services",352800.0
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Youth activities,75576.52
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,Youth facilities,380444.77999999997
Council of the municipality of Balti,NO DATA,Mayoralty of the municipality of Balti,NO DATA,other costs,2387601.38
Council of the municipality of Chisinau,NO DATA,Mayoralty of Bacioi,NO DATA,Centralized accounting offices,128026.15
Council of the municipality of Chisinau,NO DATA,Mayoralty of Bacioi,NO DATA,Community-based social assistance services,141024.7
Council of the municipality of Chisinau,NO DATA,Mayoralty of Bacioi,NO DATA,"Culture palaces and houses, clubs and other similar facilities",57400.0
Council of the municipality of Chisinau,NO DATA,Mayoralty of Bacioi,NO DATA,"Districts, towns, villages (communities) planning/development",672971.8
